path,type,description,value,extensions
typography.fontFamily.sansSerif,fontFamily,Primitive font family stack sansSerif (primary: Ubuntu Sans),"Ubuntu Sans, Ubuntu, Cantarell, Adwaita Sans, Noto Sans, Oxygen, -apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Noto Color Emoji, Apple Color Emoji, Segoe UI Emoji, sans-serif",
typography.fontFamily.monospace,fontFamily,Primitive font family stack monospace (primary: Ubuntu Sans Mono),"Ubuntu Sans Mono, Ubuntu Mono, Noto Color Emoji, Adwaita Mono, Source Code Pro, Hack, ui-monospace, SF Mono, Apple Color Emoji, Cascadia Code, Consolas, Segoe UI Emoji, Roboto Mono, monospace",
typography.weight.thin,fontWeight,Primitive font weight thin,100,
typography.weight.extraLight,fontWeight,Primitive font weight extraLight,200,
typography.weight.light,fontWeight,Primitive font weight light,300,
typography.weight.regular,fontWeight,Primitive font weight regular,400,
typography.weight.medium,fontWeight,Primitive font weight medium,500,
typography.weight.semiBold,fontWeight,Primitive font weight semiBold,600,
typography.weight.bold,fontWeight,Primitive font weight bold,700,
typography.weight.extraBold,fontWeight,Primitive font weight extraBold,800,
typography.fontStyle.italic,extension,"Primitive font style italic (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,"{""com.canonical.typography"":{""$type"":""fontStyle"",""$value"":""italic""}}"
typography.fontPosition.subscript,extension,"Primitive font position subscript (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,"{""com.canonical.typography"":{""$type"":""fontPosition"",""$value"":""sub""}}"
typography.fontPosition.superscript,extension,"Primitive font position superscript (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,"{""com.canonical.typography"":{""$type"":""fontPosition"",""$value"":""super""}}"
typography.figureStyle.normal,extension,"Primitive figure style normal (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,"{""com.canonical.typography"":{""$type"":""figureStyle"",""$value"":""normal""}}"
typography.figureStyle.oldStyleFigure,extension,"Primitive figure style oldStyleFigure (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,"{""com.canonical.typography"":{""$type"":""figureStyle"",""$value"":""oldstyle-nums""}}"
typography.figureStyle.liningFigures,extension,"Primitive figure style liningFigures (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,"{""com.canonical.typography"":{""$type"":""figureStyle"",""$value"":""lining-nums""}}"
typography.textDecoration.underline,extension,"Primitive text decoration underline (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,"{""com.canonical.typography"":{""$type"":""textDecoration"",""$value"":""underline solid""}}"
typography.textDecoration.strikethrough,extension,"Primitive text decoration strikethrough (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,"{""com.canonical.typography"":{""$type"":""textDecoration"",""$value"":""line-through""}}"
typography.letterCase.default,extension,"Primitive letter case default (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,"{""com.canonical.typography"":{""$type"":""letterCase"",""$value"":""normal""}}"
typography.letterCase.smallcaps,extension,"Primitive letter case smallcaps (This token type is not yet supported by the W3C DTCG specification, so it is stored in $extensions and requires a token transformer compatible with Canonical design system extensions.)",,"{""com.canonical.typography"":{""$type"":""letterCase"",""$value"":""small-caps""}}"